name,handedness,height,weight,avg,HR,BMI,Body_Size
Ed Charles,R,70,170,0.263,86,24,Normal
Chuck Hinton,R,73,180,0.264,113,24,Normal
Toby Harrah,R,72,175,0.264,195,24,Normal
Rick Monday,L,75,193,0.264,241,24,Normal
Bernie Carbo,L,71,173,0.264,96,24,Normal
Phil Mankowski,L,72,180,0.264,8,24,Normal
Pat Kelly,L,73,185,0.264,76,24,Normal
Bob Bailor,R,71,170,0.264,9,24,Normal
Dick Davis,R,75,190,0.265,27,24,Normal
Bobby Tolan,L,71,170,0.265,86,24,Normal
Joel Youngblood,R,72,180,0.265,80,24,Normal
Ron Oester,B,74,185,0.265,42,24,Normal
Jim Holt,L,72,180,0.265,19,24,Normal
Daryl Sconiers,L,74,185,0.265,15,24,Normal
Wayne Krenchicki,L,73,180,0.266,15,24,Normal
Jim Northrup,L,75,190,0.267,153,24,Normal
Barbaro Garbey,R,70,170,0.267,11,24,Normal
Bill Stein,R,70,170,0.267,44,24,Normal
Lee May,R,75,195,0.267,354,24,Normal
Wes Parker,B,73,180,0.267,64,24,Normal
Ken Landreaux,L,70,165,0.268,91,24,Normal
Tito Fuentes,B,71,175,0.268,45,24,Normal
Rick Leach,L,73,180,0.268,18,24,Normal
Tommy Helms,R,70,165,0.269,34,24,Normal
Rick Miller,L,72,175,0.269,28,24,Normal
Dan Ford,R,73,185,0.27,121,24,Normal
Paul Dade,R,73,185,0.27,10,24,Normal
Tim Corcoran,L,71,175,0.27,12,24,Normal
Alan Bannister,R,71,170,0.27,19,24,Normal
Al Woods,L,75,190,0.271,35,24,Normal
Duane Kuiper,L,72,175,0.271,1,24,Normal
Ray Knight,R,73,185,0.271,84,24,Normal
Sixto Lezcano,R,70,165,0.271,148,24,Normal
Dave Collins,B,71,175,0.272,32,24,Normal
Manny Jimenez,L,73,185,0.272,26,24,Normal
Barry Bonnell,R,75,190,0.272,56,24,Normal
Von Joshua,L,70,170,0.273,30,24,Normal
Rick Burleson,R,70,165,0.273,50,24,Normal
Gene Locklear,L,70,165,0.274,9,24,Normal
George Foster,R,73,180,0.274,348,24,Normal
Larry Herndon,R,75,190,0.274,107,24,Normal
Jerry Remy,L,69,165,0.275,7,24,Normal
Dane Iorg,L,72,180,0.276,14,24,Normal
Jeff Stone,L,72,175,0.277,11,24,Normal
Leon Durham,L,73,185,0.277,147,24,Normal
Jorge Orta,L,70,170,0.278,130,24,Normal
George Hendrick,R,75,195,0.278,267,24,Normal
John Castino,R,71,175,0.278,41,24,Normal
Rusty Staub,L,74,190,0.279,292,24,Normal
Mike Vail,R,73,180,0.279,34,24,Normal
Felix Millan,R,71,172,0.279,22,24,Normal
Buddy Bell,R,73,180,0.279,201,24,Normal
Jesus Alou,R,74,190,0.28,32,24,Normal
Steve Henderson,R,74,190,0.28,68,24,Normal
Glenn Adams,L,73,180,0.28,34,24,Normal
Gary Matthews,R,74,185,0.281,234,24,Normal
Bruce Bochte,L,75,195,0.282,100,24,Normal
Willie Stargell,L,74,188,0.282,475,24,Normal
Dave Cash,R,71,170,0.283,21,24,Normal
Fred Lynn,L,73,185,0.283,306,24,Normal
Carl Yastrzemski,L,71,175,0.285,452,24,Normal
Reggie Smith,B,72,180,0.287,314,24,Normal
Jerry Mumphrey,B,74,185,0.289,70,24,Normal
Johnny Ray,B,71,170,0.29,53,24,Normal
Gene Richards,L,72,175,0.29,26,24,Normal
Lou Brock,L,71,170,0.293,149,24,Normal
Mickey Rivers,L,70,165,0.295,61,24,Normal
Keith Hernandez,L,72,180,0.296,162,24,Normal
Bake McBride,L,74,190,0.299,63,24,Normal
Matty Alou,L,69,160,0.307,31,24,Normal
Lyman Bostock,L,73,180,0.311,23,24,Normal
Joaquin Andujar,B,72,170,0.127,5,23,Normal
Joe Horlen,R,72,170,0.134,0,23,Normal
Sam McDowell,L,77,190,0.154,2,23,Normal
Mel Stottlemyre,R,73,178,0.16,7,23,Normal
John Denny,R,75,185,0.17,0,23,Normal
Ray Oyler,R,71,165,0.175,15,23,Normal
Jackie Hernandez,R,71,165,0.208,12,23,Normal
Terry Humphrey,R,75,185,0.211,6,23,Normal
Tom Matchick,L,73,173,0.215,4,23,Normal
Vic Harris,B,71,165,0.217,13,23,Normal
Jim Anderson,R,72,170,0.218,13,23,Normal
Stan Papi,R,72,170,0.218,7,23,Normal
Ellie Hendricks,L,73,175,0.22,62,23,Normal
Ed Brinkman,R,72,170,0.224,60,23,Normal
Mike Richardt,R,72,170,0.226,4,23,Normal
Nate Oliver,R,70,160,0.226,2,23,Normal
Hal Lanier,R,74,180,0.228,8,23,Normal
Gene Michael,B,74,183,0.229,15,23,Normal
Brad Wellman,R,72,170,0.231,6,23,Normal
Larry Brown,R,70,160,0.233,47,23,Normal
Terry Harmon,R,74,180,0.233,4,23,Normal
Jerry Dybzinski,R,74,180,0.234,3,23,Normal
Tim Harkness,L,74,182,0.235,14,23,Normal
Cesar Gutierrez,R,69,155,0.235,0,23,Normal
Julio Gonzalez,R,71,162,0.235,4,23,Normal
Bobby Mitchell,R,75,185,0.235,21,23,Normal
Billy Cowan,R,72,170,0.236,40,23,Normal
Woody Woodward,R,74,180,0.236,1,23,Normal
Eddie Leon,R,72,170,0.236,24,23,Normal
Bob Meacham,B,73,175,0.236,8,23,Normal
Dave Edwards,R,72,170,0.237,14,23,Normal
Doug Flynn,R,71,165,0.238,7,23,Normal
Ty Cline,L,72,170,0.238,6,23,Normal
Chuck Schilling,R,70,160,0.239,23,23,Normal
Mike Phillips,L,72,170,0.24,11,23,Normal
Pepe Frias,R,70,159,0.24,1,23,Normal
Chico Ruiz,B,72,169,0.24,2,23,Normal
Tom Veryzer,R,73,175,0.241,14,23,Normal
Don Wert,R,70,162,0.242,77,23,Normal
Glenn Hoffman,R,73,175,0.242,23,23,Normal
Bruce Benedict,R,73,175,0.242,18,23,Normal
Pepe Mangual,R,70,157,0.242,16,23,Normal
Marty Martinez,B,72,170,0.243,0,23,Normal
Paul Schaal,R,71,165,0.244,57,23,Normal
Dave Nelson,R,70,160,0.244,20,23,Normal
Jody Davis,R,76,192,0.245,127,23,Normal
Bryan Little,B,70,160,0.245,3,23,Normal
Chris Speier,R,73,175,0.246,112,23,Normal
Adolfo Phillips,R,73,175,0.247,59,23,Normal
Ken Boswell,L,72,170,0.248,31,23,Normal
Rod Gilbreath,R,74,180,0.248,14,23,Normal
Chico Salmon,R,70,160,0.249,31,23,Normal
Paul Blair,R,72,168,0.25,134,23,Normal
Jimmy Wynn,R,70,160,0.25,291,23,Normal
Otto Velez,R,72,170,0.251,78,23,Normal
Lenny Faedo,R,72,170,0.251,5,23,Normal
Omar Moreno,L,74,180,0.252,37,23,Normal
Rich Reese,L,75,185,0.253,52,23,Normal
Jerry Terrell,R,71,165,0.253,4,23,Normal
Gene Alley,R,70,160,0.254,55,23,Normal
Felix Torres,R,71,165,0.254,27,23,Normal
Brian Asselstine,L,73,175,0.254,12,23,Normal
Frank White,R,71,165,0.255,160,23,Normal
Wallace Johnson,B,72,173,0.255,5,23,Normal
Craig Reynolds,L,73,175,0.256,42,23,Normal
Julian Javier,R,73,175,0.257,78,23,Normal
Ken Henderson,B,74,180,0.257,122,23,Normal
Dave Rader,L,71,165,0.257,30,23,Normal
Tony Muser,L,74,180,0.259,7,23,Normal
Hosken Powell,L,73,175,0.259,17,23,Normal
Bert Campaneris,R,70,160,0.259,79,23,Normal
Rowland Office,L,72,170,0.259,32,23,Normal
Brock Davis,L,70,160,0.26,1,23,Normal
Jose Tartabull,L,71,165,0.261,2,23,Normal
Cookie Rojas,R,70,160,0.263,54,23,Normal
Tony Conigliaro,R,75,185,0.264,166,23,Normal
Ollie Brown,R,74,178,0.265,102,23,Normal
Bobby Grich,R,74,180,0.266,224,23,Normal
Reid Nichols,R,71,165,0.266,22,23,Normal
Jay Johnstone,L,73,175,0.267,102,23,Normal
Rufino Linares,R,72,170,0.27,11,23,Normal
Jack Perconte,L,70,160,0.27,2,23,Normal
Dave Stapleton,R,73,178,0.271,41,23,Normal
Roy White,B,70,160,0.271,160,23,Normal
Willie Montanez,L,72,170,0.275,139,23,Normal
Danny Cater,R,72,170,0.276,66,23,Normal
Amos Otis,R,71,165,0.277,193,23,Normal
Cesar Tovar,R,69,155,0.278,46,23,Normal
Dusty Baker,R,74,183,0.278,242,23,Normal
Vic Davalillo,L,67,150,0.279,36,23,Normal
Willie Davis,L,74,180,0.279,182,23,Normal
Jose Cruz,L,72,170,0.284,165,23,Normal
Lee Lacy,R,73,175,0.286,91,23,Normal
Greg Gross,L,70,160,0.287,7,23,Normal
Tony Oliva,L,73,175,0.304,220,23,Normal
Manny Mota,R,70,160,0.304,31,23,Normal
Rod Carew,L,72,170,0.328,92,23,Normal
Mickey Lolich,B,73,170,0.11,0,22,Normal
Steve Rogers,R,74,175,0.138,0,22,Normal
Tommy John,R,75,180,0.157,5,22,Normal
Ken Holtzman,R,74,175,0.163,2,22,Normal
Steve Blass,R,72,165,0.172,1,22,Normal
Tommy Dean,R,72,165,0.18,4,22,Normal
Luis Pujols,R,74,175,0.193,6,22,Normal
Don Mason,L,71,160,0.205,3,22,Normal
Buddy Biancalana,B,71,160,0.205,6,22,Normal
Luis Gomez,R,69,150,0.21,0,22,Normal
Dick Tracewski,R,71,160,0.213,8,22,Normal
Frank Quilici,R,73,170,0.214,5,22,Normal
Dal Maxvill,R,71,157,0.217,6,22,Normal
Al Weis,B,72,160,0.219,7,22,Normal
Ed Crosby,L,74,175,0.22,0,22,Normal
Rick Auerbach,R,72,165,0.22,9,22,Normal
Mike Fischlin,R,73,165,0.22,3,22,Normal
Tim Johnson,L,73,170,0.223,0,22,Normal
Paul Casanova,R,76,180,0.225,50,22,Normal
Larry Lintz,B,69,150,0.227,0,22,Normal
Mark Belanger,R,73,170,0.228,20,22,Normal
Brian Giles,R,73,165,0.228,10,22,Normal
Roger Metzger,B,72,165,0.231,5,22,Normal
Vern Fuller,R,73,170,0.232,14,22,Normal
Andres Thomas,R,73,170,0.234,42,22,Normal
Bobby Knoop,R,73,170,0.236,56,22,Normal
Bud Harrelson,B,71,160,0.236,7,22,Normal
Rodney Scott,B,72,160,0.236,3,22,Normal
Dave Rosello,R,71,160,0.236,10,22,Normal
Jimmy Stewart,B,72,165,0.237,8,22,Normal
Jerry Kenney,L,73,170,0.237,7,22,Normal
Gil Garrido,R,69,150,0.237,1,22,Normal
John Donaldson,L,71,160,0.238,4,22,Normal
Charley Smith,R,73,170,0.239,69,22,Normal
Mike Ramsey,B,73,170,0.24,2,22,Normal
Ted Martinez,R,72,165,0.24,7,22,Normal
Domingo Ramos,R,70,154,0.24,8,22,Normal
Joe Simpson,L,75,175,0.242,9,22,Normal
Mark Wagner,R,72,165,0.243,3,22,Normal
Rey Quinones,R,71,160,0.243,29,22,Normal
Glenn Hubbard,R,69,150,0.244,70,22,Normal
Doug Griffin,R,72,160,0.245,7,22,Normal
Curt Ford,L,70,150,0.245,7,22,Normal
Rafael Santana,R,73,165,0.246,13,22,Normal
Marty Perez,R,71,160,0.246,22,22,Normal
Ken Hubbs,R,74,175,0.247,14,22,Normal
Ed Romero,R,71,160,0.247,8,22,Normal
Luis Melendez,R,72,165,0.248,9,22,Normal
Tony Scott,B,72,164,0.249,17,22,Normal
Derrel Thomas,B,72,160,0.249,43,22,Normal
Jerry Royster,R,72,165,0.249,40,22,Normal
Mike Edwards,R,70,154,0.25,2,22,Normal
Jake Wood,R,73,163,0.25,35,22,Normal
Wilbur Howard,B,74,170,0.25,6,22,Normal
Albert Hall,B,71,155,0.251,5,22,Normal
Sonny Jackson,L,69,150,0.251,7,22,Normal
Andre Robertson,R,70,155,0.251,5,22,Normal
Don Kessinger,B,73,170,0.252,14,22,Normal
Art Shamsky,L,73,168,0.253,68,22,Normal
Larry Milbourne,B,72,161,0.254,11,22,Normal
Bill Almon,R,75,180,0.254,36,22,Normal
Bob Dernier,R,72,160,0.255,23,22,Normal
Bob Randall,R,74,175,0.257,1,22,Normal
Mario Guerrero,R,70,155,0.257,7,22,Normal
Cesar Geronimo,L,72,165,0.258,51,22,Normal
Mike Davis,L,74,175,0.259,91,22,Normal
Jerry Morales,R,70,155,0.259,95,22,Normal
Ed Goodson,L,75,180,0.26,30,22,Normal
Larry Bowa,B,70,155,0.26,15,22,Normal
Ron Washington,R,71,155,0.261,20,22,Normal
Davey Johnson,R,73,170,0.261,136,22,Normal
Don Money,R,73,170,0.261,176,22,Normal
Oscar Gamble,L,71,160,0.265,200,22,Normal
Miguel Dilone,B,72,160,0.265,6,22,Normal
Rudy Law,L,73,165,0.271,18,22,Normal
Thad Bosley,L,75,175,0.272,20,22,Normal
Rennie Stennett,R,71,160,0.274,41,22,Normal
Jose Cardenal,R,70,150,0.275,138,22,Normal
Bobby Murcer,L,71,160,0.277,252,22,Normal
Johnny Grubb,L,75,175,0.278,99,22,Normal
Tony Perez,R,74,175,0.279,379,22,Normal
Damaso Garcia,R,73,165,0.283,36,22,Normal
Garry Maddox,R,75,175,0.285,117,22,Normal
Cesar Cedeno,R,74,175,0.285,199,22,Normal
Dick Simpson,R,76,176,0.207,15,21,Normal
Jose Arcia,R,75,170,0.215,1,21,Normal
Danny Ainge,R,76,175,0.22,2,21,Normal
Johnnie LeMaster,R,74,165,0.222,22,21,Normal
Bill Voss,L,74,160,0.227,19,21,Normal
Sandy Alomar,B,69,140,0.245,13,21,Normal
Frank Taveras,R,72,155,0.255,2,21,Normal
Leo Cardenas,R,71,150,0.257,118,21,Normal
Alan Wiggins,B,74,160,0.259,5,21,Normal
David Green,R,75,170,0.268,31,21,Normal
Ben Oglivie,L,74,160,0.273,235,21,Normal
Juan Beniquez,R,71,150,0.274,79,21,Normal
Enos Cabell,R,76,170,0.277,60,21,Normal
Cecil Cooper,L,74,165,0.298,241,21,Normal
Manny Trillo,R,73,150,0.263,61,20,Normal
Dave Concepcion,R,74,155,0.267,101,20,Normal
