name,handedness,height,weight,avg,HR,BMI,Body_Size
Fritz Peterson,B,72,185,0.159,2,25,Overweight
John Vukovich,R,73,187,0.161,6,25,Normal
Juan Marichal,R,72,185,0.165,4,25,Overweight
Bill Plummer,R,73,190,0.188,14,25,Overweight
Ron Clark,R,70,175,0.189,5,25,Overweight
Ray Sadecki,L,71,180,0.191,5,25,Overweight
Frank Fernandez,R,72,185,0.199,39,25,Overweight
Bob Uecker,R,73,190,0.2,14,25,Overweight
John Hale,L,74,195,0.201,14,25,Overweight
Tom Nieto,R,73,193,0.205,5,25,Overweight
Steve Jeltz,B,71,180,0.21,5,25,Overweight
Rusty Torres,B,70,175,0.212,35,25,Overweight
Ned Yost,R,73,190,0.212,16,25,Overweight
Curt Motton,R,68,164,0.213,25,25,Normal
Larry Haney,R,74,195,0.215,12,25,Overweight
Bobby Wine,R,73,187,0.215,30,25,Normal
Joe Lovitto,B,72,185,0.216,4,25,Overweight
Howie Goss,R,76,204,0.216,11,25,Normal
John Stephenson,L,71,180,0.216,12,25,Overweight
Jim Nettles,L,72,186,0.22,16,25,Overweight
Pedro Garcia,R,70,175,0.22,37,25,Overweight
Duffy Dyer,R,72,187,0.221,30,25,Overweight
Bob Jones,L,74,195,0.221,20,25,Overweight
Rick Renick,R,72,188,0.221,20,25,Overweight
Sam Bowens,R,73,188,0.223,45,25,Normal
Jimmie Schaffer,R,69,170,0.223,11,25,Overweight
Bobby Cox,R,71,180,0.225,9,25,Overweight
John Kennedy,R,72,185,0.225,32,25,Overweight
Johnny Lewis,L,73,189,0.227,22,25,Normal
Wayne Comer,R,70,175,0.229,16,25,Overweight
Mike Champion,R,72,185,0.229,2,25,Overweight
Duane Walker,L,72,185,0.229,24,25,Overweight
Cap Peterson,R,74,195,0.23,19,25,Overweight
Gary Alexander,R,74,195,0.23,55,25,Overweight
Bob Tillman,R,76,205,0.232,79,25,Normal
Bill Sudakis,B,73,190,0.234,59,25,Overweight
Andy Etchebarren,R,73,190,0.235,49,25,Overweight
Al Luplow,L,70,175,0.235,33,25,Overweight
George Mitterwald,R,74,195,0.236,76,25,Overweight
Doug Ault,R,75,200,0.236,17,25,Normal
Ivan Murrell,R,74,195,0.236,33,25,Overweight
